PPT,GDP,PRPE,OOCP,ESE,EPE,UNEMP,LEB,TDP
2893654,13219857459,0.73,7097,333291,195720,16.1,77.83,5
384222592,2.89E+12,6.42,6827541,30972246,45126932,11.52,70.57,6
9086139,4.02E+11,0.22,14611,411040,409776,3.6,77.37,5
9535079,75198010965,0.16,22821,949294,517708,5.2,70.76,4
10816860,3093647227,24.25,69246,583308,2046794,6.9,56.69,6
11231213,5.32E+11,2.49,6538,1210112,773568,8.5,80.59,6
10598482,9707432016,10.84,70228,896763,2133330,1,59.51,6
17589198,12257141798,6.87,956718,841886,2594024,3.1,58.59,6
7223938,56732006512,0.1,9514,518914,258840,11.6,75.41,4
3817554,18523988467,0.13,1668,297460,161023,27.9,76.43,5
9483000,76103961203,0.03,22130,648541,368783,5.9,72.98,4
351706,1717861730,6.87,397,37095,51978,11.5,70.08,6
765008,1958819915,6.25,10967,74227,101667,2.8,69.47,7
103496179,1.46E+12,1.04,218150,7879276,5122451,9.06,76.56,5
8188649,7.03E+11,1.24,1671,616127,483886,4.5,82.85,6
17762647,2.59E+11,4.05,101222,1556372,1469099,6.4,81.5,6
22157107,34217693110,15.01,878850,1418361,3176874,4,51.56,6
22773014,32050817633,12.73,193251,2000076,4142775,4.3,55.49,6
47791393,3.78E+11,1.57,309168,4827962,4542644,10.1,73.99,5
513906,1881496592,9.02,1041,59823,67023,9.2,73.15,6
4757606,50167623290,4.18,15638,460235,475731,8.3,79.4,6
1153658,23308212817,0.13,1535,58634,53129,15.6,80.13,6
80982500,3.88E+12,0.41,4282,7201072,2862690,5,80.84,4
5643475,3.46E+11,0.96,7401,553791,467484,6.6,80.55,7
10405943,65231032303,6.98,178919,931068,1267930,15,73.5,6
2020656037,1.27E+13,0.75,6301808,139756448,167582400,4.58,73.99,6
3079001949,1.03E+13,3.4,20868796,272891456,355815200,5.66,69.04,6
2264064351,2.16E+13,0.74,6488666,154212112,180388848,4.52,74.93,6
408984246,3.87E+12,0.76,1110253,36413404,21083246,7.62,71.89,4
903987814,2.34E+13,1.23,1423031,78143392,49350704,9.01,76.89,5
15902916,1.02E+11,1.35,63225,1877666,2067545,4.6,75.87,6
338617134,1.34E+13,2.23,189071,28055416,18148330,11.53,81.65,6
46480882,1.38E+12,2.32,28642,3288424,2960626,24.7,83.08,6
508344735,1.86E+13,1.59,409889,42786516,28606016,10.21,80.67,6
474395380,8.10E+11,11.07,16736669,29457496,71616608,7.89,61.72,6
5461512,2.72E+11,0.33,1721,536925,351766,8.6,81.13,6
26786598,38616536132,2.65,413314,2265692,4117152,2.4,61.31,6
12275527,6624068016,13.64,416632,715702,1729630,1.8,58.73,6
16015494,58722087392,9.31,257525,1165624,2417429,2.9,71.72,6
1180597445,5.01E+13,1.44,2309701,90841792,75883424,7.37,80.58,6
7241700,2.91E+11,0.53,1913,415971,324171,3.2,83.98,6
7961680,19380958759,1.64,53956,619832,1150042,3.9,73.14,6
701714118,6.40E+11,10.05,22588052,38850524,118997400,6.6,60.79,6
4238389,57136241867,0.19,2676,370356,160819,16.7,77.33,4
9866468,1.39E+11,1.73,15945,857807,393020,7.8,75.87,4
4480656590,2.68E+13,2.51,15628908,373634784,419335712,5.61,72.05,6
6104461024,2.92E+13,4.1,58664280,478212864,644414208,5.67,69.75,6
1623804434,2.37E+12,7.05,43035372,104578088,225078480,5.87,63.41,6
573991143,1.28E+12,2.15,16598032,39283708,66395416,5.25,63.32,6
254454778,8.90E+11,2.21,2008214,22586956,29838440,6.2,68.89,6
1049813291,1.08E+12,9.1,26437340,65294380,158683072,6.19,63.46,6
78143644,4.25E+11,1.25,44743,5794537,7441078,12.8,75.39,6
8215700,3.09E+11,1.38,24274,767729,861699,6.1,82.15,6
17289224,2.21E+11,0.04,5110,1661586,1122282,4.1,71.62,4
5835500,7468096567,0.03,8148,650516,434642,8.1,70.4,4
598846559,5.75E+12,4.79,3480099,61868840,63043688,6.54,74.72,6
6689300,11739027121,6.92,36499,600747,870893,1.4,66.12,5
4396554,2013000000,6.04,442455,222857,683977,3.8,60.83,6
626285603,6.23E+12,4.77,3633176,64141980,65342340,6.58,74.94,6
931955068,9.55E+11,9.59,24512260,55732712,145810064,6.13,63.19,6
621322015,4.06E+11,10.24,19426072,35371836,105538408,5.98,61.27,6
2885248344,5.89E+12,3.1,30376606,239921488,331002304,5.25,67.25,6
6080182833,2.83E+13,4.09,58633756,477174112,643171328,5.64,69.68,6
2109197,2538831766,8.75,65881,130836,366048,26.2,49.7,7
2235786397,1.96E+13,1.5,5386553,164160592,158910240,5.1,75.12,6
2932367,48353937110,0.54,561,277349,108115,11.3,73.97,4
1993782,31322649595,0.76,3395,121580,114623,10,74.19,6
416401841,3.54E+12,5.88,2458452,35294308,47857856,11.26,72.85,6
125385833,1.30E+12,0.82,340062,12993322,14627368,4.9,76.72,6
5458860818,2.79E+13,2.88,39207684,441802272,537632896,5.6,70.64,6
17086022,14004067516,20.06,1029672,961046,2181617,8.1,57.99,6
427364,10737561364,0.48,841,30230,24072,5.9,81.75,6
53437159,65574726566,0.2,284278,3191268,5177276,3.3,65.86,5
356262920,1.57E+12,6.56,2285200,29813136,42118076,12.88,72.27,6
2909871,12226514746,0.05,10311,285597,239289,4.8,69.46,5
27216276,16961127046,6.41,677573,783558,5669591,22.6,55.03,7
3969625,5442297174,3.49,150634,178968,592249,31,63.02,6
1260934,12803445934,0.98,3539,133001,105447,7.7,74.19,6
19113728,8245312137,3.85,1233332,515075,2277021,5.1,61.46,6
28174724,19811974852,10.22,173764,3163946,4401780,2.7,69.6,5
1274981875,4.89E+13,1.39,2779138,107619152,89315032,7.34,80.12,6
4236057,81035110533,0,5713,391099,233306,7.2,77.09,4
28142985,4.43E+11,11.51,511619,2021330,3619640,10.99,66.45,6
185044286,2.44E+11,2.28,5611792,11286628,19431564,5.2,66.18,5
30973148,2.01E+11,4.2,161695,2670847,3495614,4.2,74.53,6
826352062,1.48E+12,8.81,32635430,46566744,136351696,7.78,58.36,6
143819569,2.05E+12,0.38,220011,9061324,5725528,5.1,70.37,4
1721152580,2.58E+12,3.23,11322410,153192192,191118304,3.9,68.12,5
30886545,7.54E+11,0.96,120782,3419441,3737083,5.6,74.34,6
6107706,25054200000,6.06,40769,625060,777043,6.2,72.75,6
7130576,44210806366,0.45,3975,548158,284754,22.2,75.53,4
974280491,1.77E+12,8.18,34133988,56130096,158225632,7.97,58.56,6
974371891,1.77E+12,8.18,34134436,56136952,158234432,7.97,58.56,6
37479355,5.21E+11,9.96,579860,2841358,4699990,10.72,67.84,6
2061980,49530147016,0.78,2454,145179,111648,9.5,80.52,6
9696110,5.74E+11,0,1787,826694,757164,8,81.96,6
1995584007,1.27E+13,0.75,6246218,137370112,165744688,4.59,74.03,6
451234370,4.47E+12,0.77,1174909,39439656,23412538,7.83,72.4,4
610149938,6.02E+12,4.83,3533954,62970044,64228640,6.6,74.83,6
351968238,1.56E+12,6.62,2252351,29103910,41675600,12.76,72.26,6
1212107,1399000000,17.75,3869,118935,245847,4.7,68.26,6
1721152580,2.58E+12,3.23,11322410,153192192,191118304,3.9,68.12,5
974371891,1.77E+12,8.18,34134436,56136952,158234432,7.97,58.56,6
45362900,1.34E+11,0.06,56464,2713646,1685030,7.7,71.19,4
2573612474,2.20E+13,2.55,8831078,201880784,206630624,5.9,74.44,6
4294682,12715599989,0.2,32849,709226,442476,26.2,72.9,4
7260780278,7.84E+13,3.81,60943456,568015872,719054784,5.93,71.45,6
