f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18
25,9,9,19,12,8,20,0,10,0,6,21,8,7,4,7,17,5
26,9,9,20,13,8,20,0,10,0,6,21,8,7,4,7,17,5
25,9,9,22,10,10,23,0,13,0,6,19,5,6,4,8,16,5
15,10,21,13,18,12,22,1,9,2,4,11,5,10,1,14,8,2
17,11,22,15,14,10,23,1,11,2,4,11,5,9,1,13,9,1
22,17,17,16,10,15,13,1,7,2,3,14,9,9,2,12,6,2
21,18,18,15,11,15,16,1,7,2,3,14,6,8,2,12,7,2
20,9,16,15,16,6,19,1,7,3,4,14,4,11,1,16,11,3
22,10,17,18,13,6,21,1,8,3,4,13,4,11,1,15,10,3
17,13,14,16,4,9,14,1,13,0,11,13,5,7,1,4,11,5
12,11,9,12,6,5,12,1,9,1,7,12,5,6,0,4,8,2
18,16,16,16,8,6,14,1,14,0,9,12,4,8,0,2,11,3
18,16,15,19,8,6,11,1,15,1,7,13,5,8,0,2,9,3
17,13,13,22,8,4,18,1,10,3,8,11,7,6,1,2,10,2
16,13,16,21,9,3,17,1,10,4,7,12,7,5,1,2,11,3
22,19,10,16,10,4,18,1,12,2,8,11,6,8,0,1,8,2
20,10,24,10,6,9,21,0,7,0,7,18,4,9,1,4,8,2
20,21,12,15,9,7,11,1,9,3,8,14,6,7,0,1,10,3
20,21,12,15,9,7,11,1,9,3,9,14,5,7,0,1,10,3
18,11,24,10,9,6,19,0,12,0,7,14,4,11,0,4,9,1
20,12,23,10,8,5,20,0,13,0,6,13,4,11,0,4,10,1
18,19,18,16,8,4,12,0,12,0,10,15,8,6,1,1,12,1
17,16,17,15,8,6,14,1,14,0,9,12,4,8,0,3,11,3
19,17,14,16,8,6,14,1,14,0,8,12,4,8,0,2,12,3
19,17,15,16,8,5,14,1,14,0,8,12,4,8,0,2,12,3
19,15,16,16,8,6,14,1,15,0,8,12,4,8,0,2,12,3
17,17,16,19,8,6,11,1,15,1,7,13,5,8,0,2,9,3
18,17,15,19,8,6,11,1,15,1,7,13,5,8,0,2,9,3
22,19,10,16,10,4,18,1,12,2,8,11,6,8,0,1,8,2
22,19,10,16,10,5,17,1,12,2,8,11,6,8,0,1,8,2
18,20,10,18,6,8,17,1,14,1,5,16,4,7,0,2,9,2
18,16,16,15,8,6,13,1,14,1,8,12,4,8,1,2,12,3
20,21,12,15,9,7,11,1,10,3,8,14,7,7,0,1,9,3
20,21,12,15,9,7,11,1,10,3,9,14,5,7,0,1,10,3
18,12,23,10,9,5,20,0,14,0,7,12,4,11,0,4,10,1
18,12,21,10,10,5,18,0,13,0,8,12,4,12,0,4,10,1
17,12,22,10,8,5,18,0,14,0,5,13,4,10,0,3,9,1
17,16,16,16,8,6,15,1,14,0,9,12,4,8,0,2,11,3
19,17,15,17,7,6,15,1,14,0,8,12,4,8,0,2,10,3
18,16,16,19,8,6,11,1,15,1,7,13,5,8,0,2,9,3
18,17,15,17,8,6,15,1,14,0,8,12,4,8,0,3,9,3
15,12,14,23,8,3,17,1,9,4,7,15,6,6,1,2,11,2
13,11,14,22,7,3,17,1,10,4,8,13,6,6,1,3,11,2
16,11,15,23,10,4,18,1,10,3,7,12,6,5,1,2,9,3
14,11,14,25,11,3,19,2,10,2,7,12,6,5,1,2,9,3
11,11,15,24,10,5,18,1,11,1,7,14,5,7,2,3,11,2
15,9,12,21,8,4,21,1,10,3,7,15,7,6,1,3,10,3
15,11,15,22,7,3,19,1,8,3,4,14,6,5,1,2,10,2
27,8,13,25,12,26,21,1,20,0,11,18,5,7,5,7,19,3
27,8,13,25,13,27,21,1,19,0,11,18,6,8,5,7,19,3
27,7,12,25,12,26,21,1,20,0,11,17,6,8,5,7,19,3
26,8,13,25,13,26,21,1,19,0,11,18,6,8,5,8,19,3
28,6,13,24,12,30,22,1,18,0,11,18,6,8,4,7,19,3
27,8,14,25,13,26,21,1,18,0,11,18,6,8,5,7,19,3
24,15,18,14,10,14,19,1,14,7,5,19,4,6,2,12,10,4
25,14,15,15,9,12,14,0,8,3,6,12,4,14,1,10,8,0
29,11,12,23,9,15,23,0,16,1,10,13,5,8,3,6,23,5
28,15,22,21,7,32,21,1,13,2,8,16,12,5,5,8,9,1
29,14,22,20,9,20,20,2,15,2,9,16,7,6,6,10,13,2
29,16,18,18,8,32,22,1,14,2,9,18,15,4,4,8,9,1
31,14,21,20,9,21,20,3,15,2,8,17,6,7,6,10,13,1
